,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France
,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-04,57,0,0.0,57,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,47,0,0.0,47,0,0.0,164,0,0.0,164,0,0.0
2010-05-05,63,0,0.0,63,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,9.0,0.0,0.0,9.0,0.0,0.0,43,0,0.0,43,0,0.0,89,0,0.0,89,0,0.0
2010-05-06,55,0,0.0,55,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,43,0,0.0,43,0,0.0,88,0,0.0,88,0,0.0
2010-05-07,64,0,0.0,64,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,45,0,0.0,45,0,0.0,91,0,0.0,91,0,0.0
2010-05-08,25,0,0.0,25,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,38,0,0.0,38,0,0.0,46,0,0.0,46,0,0.0
2010-05-09,26,0,0.0,26,0,0.0,,,,,,,,,,,,,,,,,,,50,0,0.0,50,0,0.0,57,0,0.0,57,0,0.0
2010-05-10,45,0,0.0,45,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,17,0,0.0,17,0,0.0,61,0,0.0,61,0,0.0
2010-05-11,39,0,0.0,39,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,13,0,0.0,13,0,0.0,55,0,0.0,55,0,0.0
2010-05-12,54,0,0.0,54,0,0.0,,,,,,,50.0,0.0,0.0,50.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,18,0,0.0,18,0,0.0,59,0,0.0,59,0,0.0
2010-05-13,25,0,0.0,25,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,37,0,0.0,37,0,0.0,63,0,0.0,63,0,0.0
2010-05-14,54,0,0.0,54,0,0.0,,,,,,,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,43,0,0.0,43,0,0.0,90,0,0.0,90,0,0.0
2010-05-15,20,0,0.0,20,0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,42,0,0.0,42,0,0.0,46,0,0.0,46,0,0.0
2010-05-16,22,0,0.0,22,0,0.0,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,43,0,0.0,43,0,0.0,57,0,0.0,57,0,0.0
2010-05-17,139,0,0.0,139,0,0.0,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,50,0,0.0,50,0,0.0,70,0,0.0,70,0,0.0
2010-05-18,49,0,0.0,49,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,44,0,0.0,44,0,0.0,87,0,0.0,87,0,0.0
2010-05-19,76,0,0.0,76,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,51,0,0.0,51,0,0.0,95,0,0.0,95,0,0.0
2010-05-20,53,0,0.0,53,0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,47,0,0.0,47,0,0.0,100,0,0.0,100,0,0.0
2010-05-21,46,0,0.0,46,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,8.0,0.0,0.0,8.0,0.0,0.0,38,0,0.0,38,0,0.0,82,0,0.0,82,0,0.0
2010-05-22,21,0,0.0,21,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,46,0,0.0,46,0,0.0,54,0,0.0,54,0,0.0
2010-05-23,20,0,0.0,20,0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,37,0,0.0,37,0,0.0,60,0,0.0,60,0,0.0
2010-05-24,22,0,0.0,22,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,38,0,0.0,38,0,0.0,73,0,0.0,73,0,0.0
2010-05-25,32,0,0.0,32,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,43,0,0.0,43,0,0.0,95,0,0.0,95,0,0.0
2010-05-26,45,0,0.0,45,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,36,0,0.0,36,0,0.0,77,0,0.0,77,0,0.0
2010-05-27,65,0,0.0,65,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,44,0,0.0,44,0,0.0,78,0,0.0,78,0,0.0
2010-05-28,60,0,0.0,60,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,46,0,0.0,46,0,0.0,108,1,0.009259259259259259,108,0,0.0
2010-05-29,26,0,0.0,26,0,0.0,,,,,,,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,43,0,0.0,43,0,0.0,48,0,0.0,48,0,0.0
2010-05-30,42,0,0.0,42,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,43,0,0.0,43,0,0.0,54,0,0.0,54,0,0.0
2010-05-31,58,0,0.0,58,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,54,0,0.0,54,0,0.0,87,0,0.0,87,0,0.0
2010-06-01,52,0,0.0,52,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,53,0,0.0,53,0,0.0,102,0,0.0,102,0,0.0
2010-06-02,46,0,0.0,46,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,50,0,0.0,50,0,0.0,92,0,0.0,92,0,0.0
2010-06-03,48,0,0.0,48,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,53,0,0.0,53,0,0.0,94,0,0.0,94,0,0.0
2010-06-04,51,0,0.0,51,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,9.0,0.0,0.0,9.0,0.0,0.0,43,0,0.0,43,0,0.0,91,0,0.0,91,0,0.0
2010-06-05,29,0,0.0,29,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,48,0,0.0,48,0,0.0,50,0,0.0,50,0,0.0
2010-06-06,20,0,0.0,20,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,44,0,0.0,44,0,0.0,40,0,0.0,40,0,0.0
2010-06-07,51,0,0.0,51,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,53,0,0.0,53,0,0.0,87,0,0.0,87,0,0.0
2010-06-08,45,0,0.0,45,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,43,0,0.0,43,0,0.0,82,0,0.0,82,0,0.0
2010-06-09,60,0,0.0,60,0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,50,0,0.0,50,0,0.0,89,0,0.0,89,0,0.0
2010-06-10,102,0,0.0,102,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,35,0,0.0,35,0,0.0,81,0,0.0,81,0,0.0
2010-06-11,88,0,0.0,88,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,36,0,0.0,36,0,0.0,103,0,0.0,103,0,0.0
2010-06-12,82,0,0.0,82,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,48,0,0.0,48,0,0.0,61,0,0.0,61,0,0.0
2010-06-13,70,0,0.0,70,0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0
2010-06-14,109,0,0.0,109,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,37,0,0.0,37,0,0.0,83,0,0.0,83,0,0.0
2010-06-15,162,0,0.0,162,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,45,2,0.044444444444444446,45,0,0.0,81,0,0.0,81,0,0.0
2010-06-16,189,0,0.0,189,0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,42,0,0.0,42,0,0.0,88,0,0.0,88,0,0.0
2010-06-17,156,0,0.0,156,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,9.0,0.0,0.0,9.0,0.0,0.0,46,0,0.0,46,0,0.0,94,0,0.0,94,0,0.0
2010-06-18,128,0,0.0,128,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5.0,0.0,0.0,5.0,0.0,0.0,46,0,0.0,46,0,0.0,96,0,0.0,96,0,0.0
2010-06-19,72,0,0.0,72,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,36,0,0.0,36,0,0.0,64,0,0.0,64,0,0.0
2010-06-20,108,0,0.0,108,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,7.0,0.0,0.0,7.0,0.0,0.0,30,0,0.0,30,0,0.0,54,0,0.0,54,0,0.0
2010-06-21,153,0,0.0,153,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,46,0,0.0,46,0,0.0,93,0,0.0,93,0,0.0
2010-06-22,174,0,0.0,174,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,46,0,0.0,46,0,0.0,89,0,0.0,89,0,0.0
2010-06-23,182,0,0.0,182,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,12.0,0.0,0.0,12.0,0.0,0.0,50,0,0.0,50,0,0.0,106,0,0.0,106,0,0.0
2010-06-24,194,0,0.0,194,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,49,0,0.0,49,0,0.0,84,0,0.0,84,0,0.0
2010-06-25,165,0,0.0,165,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,26.0,0.0,0.0,26.0,0.0,0.0,45,0,0.0,45,0,0.0,90,0,0.0,90,0,0.0
2010-06-26,84,0,0.0,84,0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,38,0,0.0,38,0,0.0,47,0,0.0,47,0,0.0
2010-06-27,120,0,0.0,120,0,0.0,,,,,,,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,34,0,0.0,34,0,0.0,43,0,0.0,43,0,0.0
2010-06-28,171,0,0.0,171,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,58,0,0.0,58,0,0.0,95,0,0.0,95,0,0.0
2010-06-29,192,0,0.0,192,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,50,0,0.0,50,0,0.0,107,0,0.0,107,0,0.0
2010-06-30,191,0,0.0,191,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,44,0,0.0,44,0,0.0,99,0,0.0,99,0,0.0
2010-07-01,199,0,0.0,199,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,52,0,0.0,52,0,0.0,100,0,0.0,100,0,0.0
2010-07-02,190,0,0.0,190,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,44,0,0.0,44,0,0.0,97,0,0.0,97,0,0.0
2010-07-03,78,0,0.0,78,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,11.0,0.0,0.0,11.0,0.0,0.0,45,0,0.0,45,0,0.0,54,0,0.0,54,0,0.0
2010-07-04,96,0,0.0,96,0,0.0,,,,,,,,,,,,,,,,,,,37,0,0.0,37,0,0.0,42,0,0.0,42,0,0.0
2010-07-05,166,0,0.0,166,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,10.0,0.0,0.0,10.0,0.0,0.0,29,0,0.0,29,0,0.0,93,0,0.0,93,0,0.0
2010-07-06,165,0,0.0,165,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,54,0,0.0,54,0,0.0,87,0,0.0,87,0,0.0
2010-07-07,134,0,0.0,134,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,46,0,0.0,46,0,0.0,91,0,0.0,91,0,0.0
2010-07-08,153,0,0.0,153,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,53,0,0.0,53,0,0.0,102,0,0.0,102,0,0.0
2010-07-09,158,0,0.0,158,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,50,0,0.0,50,0,0.0,82,0,0.0,82,0,0.0
2010-07-10,74,0,0.0,74,0,0.0,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,40,0,0.0,40,0,0.0,53,0,0.0,53,0,0.0
2010-07-11,112,0,0.0,112,0,0.0,,,,,,,,,,,,,,,,,,,32,0,0.0,32,0,0.0,49,0,0.0,49,0,0.0
2010-07-12,157,0,0.0,157,0,0.0,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,48,0,0.0,48,0,0.0,105,0,0.0,105,0,0.0
2010-07-13,161,0,0.0,161,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,40,0,0.0,40,0,0.0,65,0,0.0,65,0,0.0
2010-07-14,175,0,0.0,175,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,52,0,0.0,52,0,0.0,61,0,0.0,61,0,0.0
2010-07-15,137,0,0.0,137,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,43,0,0.0,43,0,0.0,78,0,0.0,78,0,0.0
2010-07-16,99,0,0.0,99,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,15,0,0.0,15,0,0.0,68,0,0.0,68,0,0.0
2010-07-17,67,0,0.0,67,0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,37,0,0.0,37,0,0.0,47,1,0.02127659574468085,47,0,0.0
2010-07-18,100,0,0.0,100,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,32,0,0.0,32,0,0.0,54,0,0.0,54,0,0.0
2010-07-19,183,0,0.0,183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5.0,0.0,0.0,5.0,0.0,0.0,43,0,0.0,43,0,0.0,64,0,0.0,64,0,0.0
2010-07-20,195,0,0.0,195,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,47,0,0.0,47,0,0.0,68,0,0.0,68,0,0.0
2010-07-21,203,0,0.0,203,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,33,0,0.0,33,0,0.0,69,0,0.0,69,0,0.0
2010-07-22,192,0,0.0,192,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,38,0,0.0,38,0,0.0,64,0,0.0,64,0,0.0
2010-07-23,135,0,0.0,135,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,43,0,0.0,43,0,0.0,65,0,0.0,65,0,0.0
2010-07-24,85,0,0.0,85,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,22,0,0.0,22,0,0.0,33,0,0.0,33,0,0.0
2010-07-25,120,0,0.0,120,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,35,0,0.0,35,0,0.0,35,0,0.0,35,0,0.0
2010-07-26,169,0,0.0,169,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,45,0,0.0,45,0,0.0,71,0,0.0,71,0,0.0
2010-07-27,153,0,0.0,153,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,30,0,0.0,30,0,0.0,73,0,0.0,73,0,0.0
2010-07-28,170,0,0.0,170,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,49,0,0.0,49,0,0.0,67,0,0.0,67,0,0.0
2010-07-29,164,0,0.0,164,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,8.0,0.0,0.0,8.0,0.0,0.0,45,0,0.0,45,0,0.0,70,2,0.02857142857142857,70,0,0.0
2010-07-30,154,0,0.0,154,0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,47,0,0.0,47,0,0.0,67,0,0.0,67,0,0.0
2010-07-31,93,0,0.0,93,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,27,0,0.0,27,0,0.0,46,0,0.0,46,0,0.0
2010-08-01,108,0,0.0,108,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,28,0,0.0,28,0,0.0,25,0,0.0,25,0,0.0
2010-08-02,136,0,0.0,136,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,14.0,0.0,0.0,14.0,0.0,0.0,39,0,0.0,39,0,0.0,32,0,0.0,32,0,0.0
2010-08-03,155,0,0.0,155,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,45,0,0.0,45,0,0.0,40,0,0.0,40,0,0.0
2010-08-04,144,0,0.0,144,0,0.0,,,,,,,,,,,,,8.0,0.0,0.0,8.0,0.0,0.0,46,0,0.0,46,0,0.0,30,0,0.0,30,0,0.0
2010-08-05,141,0,0.0,141,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,14.0,0.0,0.0,14.0,0.0,0.0,50,0,0.0,50,0,0.0,36,0,0.0,36,0,0.0
2010-08-06,132,0,0.0,132,0,0.0,,,,,,,,,,,,,7.0,0.0,0.0,7.0,0.0,0.0,45,0,0.0,45,0,0.0,46,0,0.0,46,0,0.0
2010-08-07,63,0,0.0,63,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,37,0,0.0,37,0,0.0,22,0,0.0,22,0,0.0
2010-08-08,108,0,0.0,108,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,459.0,0.0,0.0,459.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36,0,0.0,36,0,0.0,17,0,0.0,17,0,0.0
2010-08-09,168,0,0.0,168,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,7.0,0.0,0.0,7.0,0.0,0.0,43,0,0.0,43,0,0.0,33,0,0.0,33,0,0.0
2010-08-10,192,0,0.0,192,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,7.0,0.0,0.0,7.0,0.0,0.0,35,0,0.0,35,0,0.0,38,0,0.0,38,0,0.0
2010-08-11,166,0,0.0,166,0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,30,0,0.0,30,0,0.0,47,0,0.0,47,0,0.0
2010-08-12,165,0,0.0,165,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,31,0,0.0,31,0,0.0,39,0,0.0,39,0,0.0
2010-08-13,99,0,0.0,99,0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,47,0,0.0,47,0,0.0,46,0,0.0,46,0,0.0
2010-08-14,69,0,0.0,69,0,0.0,,,,,,,,,,,,,17.0,0.0,0.0,17.0,0.0,0.0,33,0,0.0,33,0,0.0,18,0,0.0,18,0,0.0
2010-08-15,102,0,0.0,102,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,28,0,0.0,28,0,0.0,11,0,0.0,11,0,0.0
2010-08-16,194,0,0.0,194,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,35,0,0.0,35,0,0.0,30,0,0.0,30,0,0.0
2010-08-17,180,0,0.0,180,0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,35,0,0.0,35,0,0.0,23,0,0.0,23,0,0.0
2010-08-18,175,0,0.0,175,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,38,0,0.0,38,0,0.0,26,0,0.0,26,0,0.0
2010-08-19,132,0,0.0,132,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,30,0,0.0,30,0,0.0,37,0,0.0,37,0,0.0
2010-08-20,107,0,0.0,107,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,44,0,0.0,44,0,0.0,44,1,0.022727272727272728,44,0,0.0
2010-08-21,84,0,0.0,84,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,35,0,0.0,35,0,0.0,22,0,0.0,22,0,0.0
2010-08-22,107,0,0.0,107,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,30,0,0.0,30,0,0.0,12,0,0.0,12,0,0.0
2010-08-23,177,0,0.0,177,0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,41,0,0.0,41,0,0.0,26,1,0.038461538461538464,26,0,0.0
2010-08-24,196,0,0.0,196,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,4.0,0.0,0.0,4.0,0.0,0.0,47,0,0.0,47,0,0.0,32,1,0.03125,32,0,0.0
2010-08-25,207,0,0.0,207,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34,0,0.0,34,0,0.0,24,0,0.0,24,0,0.0
2010-08-26,215,0,0.0,215,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,45,0,0.0,45,0,0.0,30,0,0.0,30,0,0.0
2010-08-27,196,0,0.0,196,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,38,0,0.0,38,0,0.0,31,0,0.0,31,0,0.0
2010-08-28,76,0,0.0,76,0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,32,0,0.0,32,0,0.0,14,0,0.0,14,0,0.0
